DataType,Algorithm,Size,Time
Random,Bubble,1000,0.001200
Random,Selection,1000,0.001000
Random,Insertion,1000,0.000500
Reverse,Bubble,1000,0.001300
Reverse,Selection,1000,0.000900
Reverse,Insertion,1000,0.001000
Sorted,Bubble,1000,0.000900
Sorted,Selection,1000,0.001000
Sorted,Insertion,1000,0.000000
Almost Sorted,Bubble,1000,0.001000
Almost Sorted,Selection,1000,0.000900
Almost Sorted,Insertion,1000,0.000000
Random,Bubble,5000,0.037600
Random,Selection,5000,0.023500
Random,Insertion,5000,0.011700
Reverse,Bubble,5000,0.032200
Reverse,Selection,5000,0.024000
Reverse,Insertion,5000,0.023500
Sorted,Bubble,5000,0.021500
Sorted,Selection,5000,0.023200
Sorted,Insertion,5000,0.000000
Almost Sorted,Bubble,5000,0.024200
Almost Sorted,Selection,5000,0.023400
Almost Sorted,Insertion,5000,0.001600
Random,Bubble,10000,0.177200
Random,Selection,10000,0.092800
Random,Insertion,10000,0.047500
Reverse,Bubble,10000,0.130200
Reverse,Selection,10000,0.095800
Reverse,Insertion,10000,0.094700
Sorted,Bubble,10000,0.086600
Sorted,Selection,10000,0.092200
Sorted,Insertion,10000,0.000000
Almost Sorted,Bubble,10000,0.098900
Almost Sorted,Selection,10000,0.092400
Almost Sorted,Insertion,10000,0.006300
Random,Bubble,20000,0.779700
Random,Selection,20000,0.368900
Random,Insertion,20000,0.188700
Reverse,Bubble,20000,0.522400
Reverse,Selection,20000,0.381000
Reverse,Insertion,20000,0.379700
Sorted,Bubble,20000,0.346700
Sorted,Selection,20000,0.367400
Sorted,Insertion,20000,0.000100
Almost Sorted,Bubble,20000,0.396600
Almost Sorted,Selection,20000,0.366900
Almost Sorted,Insertion,20000,0.021700
Random,Bubble,50000,5.260200
Random,Selection,50000,2.290900
Random,Insertion,50000,1.179500
Reverse,Bubble,50000,3.274600
Reverse,Selection,50000,2.380300
Reverse,Insertion,50000,2.358400
Sorted,Bubble,50000,2.175000
Sorted,Selection,50000,2.293300
Sorted,Insertion,50000,0.000100
Almost Sorted,Bubble,50000,2.444500
Almost Sorted,Selection,50000,2.290400
Almost Sorted,Insertion,50000,0.093100
Random,Merge,50000,0.009500
Random,Quick,50000,0.004700
Random,Radix,50000,0.003300
Random,Heap,50000,0.008800
Reverse,Merge,50000,0.006600
Reverse,Quick,50000,0.001700
Reverse,Radix,50000,0.003000
Reverse,Heap,50000,0.006600
Sorted,Merge,50000,0.006600
Sorted,Quick,50000,0.001500
Sorted,Radix,50000,0.002900
Sorted,Heap,50000,0.006600
Almost Sorted,Merge,50000,0.007000
Almost Sorted,Quick,50000,0.002000
Almost Sorted,Radix,50000,0.003100
Almost Sorted,Heap,50000,0.007000
Random,Merge,100000,0.018900
Random,Quick,100000,0.009600
Random,Radix,100000,0.005900
Random,Heap,100000,0.018200
Reverse,Merge,100000,0.013100
Reverse,Quick,100000,0.003400
Reverse,Radix,100000,0.005800
Reverse,Heap,100000,0.013700
Sorted,Merge,100000,0.013100
Sorted,Quick,100000,0.003400
Sorted,Radix,100000,0.006100
Sorted,Heap,100000,0.014000
Almost Sorted,Merge,100000,0.014000
Almost Sorted,Quick,100000,0.004100
Almost Sorted,Radix,100000,0.006000
Almost Sorted,Heap,100000,0.014300
Random,Merge,500000,0.102900
Random,Quick,500000,0.049800
Random,Radix,500000,0.034300
Random,Heap,500000,0.110200
Reverse,Merge,500000,0.071100
Reverse,Quick,500000,0.018500
Reverse,Radix,500000,0.039900
