Algorithm,Size,ValueRange,Time
Merge,100000,10,0.015900
Quick,100000,10,0.005200
Radix,100000,10,0.001300
Heap,100000,10,0.013200
Counting,100000,10,0.000400
Merge,100000,100,0.016700
Quick,100000,100,0.006300
Radix,100000,100,0.002300
Heap,100000,100,0.015300
Counting,100000,100,0.000600
Merge,100000,1000,0.018600
Quick,100000,1000,0.007500
Radix,100000,1000,0.003800
Heap,100000,1000,0.017400
Counting,100000,1000,0.000600
Merge,100000,10000,0.018500
Quick,100000,10000,0.009200
Radix,100000,10000,0.004700
Heap,100000,10000,0.018100
Counting,100000,10000,0.000600
Merge,100000,100000,0.019100
Quick,100000,100000,0.010000
Radix,100000,100000,0.005900
Heap,100000,100000,0.018000
Counting,100000,100000,0.001000
Merge,100000,500000,0.018700
Quick,100000,500000,0.010000
Radix,100000,500000,0.007400
Heap,100000,500000,0.018200
Counting,100000,500000,0.001600
Merge,100000,1000000,0.018700
Quick,100000,1000000,0.009300
Radix,100000,1000000,0.007000
Heap,100000,1000000,0.018100
Counting,100000,1000000,0.002500
